World Rank,Institution,Location,National Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,Score
178 Top 0.9%,Norwegian University of Science and Technology,Norway,2,260,510,61,256,79.3
179 Top 0.9%,Xiamen University,China,16,-,78,-,201,79.3
180 Top 0.9%,University of Milan,Italy,3,473,567,-,125,79.3
181 Top 0.9%,Wageningen University & Research,Netherlands,8,425,807,209,159,79.2
182 Top 0.9%,Iowa State University,USA,64,340,142,153,225,79.2
183 Top 0.9%,University of Notre Dame,USA,65,307,39,-,300,79.2
184 Top 0.9%,Harbin Institute of Technology,China,17,-,541,-,129,79.2
185 Top 1%,University of Bologna,Italy,4,-,792,-,127,79.1
186 Top 1%,Arizona State University,USA,66,444,591,266,143,79.1
187 Top 1%,University of Cologne,Germany,12,350,223,183,196,79.1
188 Top 1%,Western University,Canada,7,424,80,-,215,79.1
189 Top 1%,University of Alabama at Birmingham,USA,67,-,1085,206,169,79.0
190 Top 1%,Autonomous University of Barcelona,Spain,2,-,-,-,131,79.0
191 Top 1%,Shandong University,China,18,-,1171,-,135,79.0
192 Top 1%,University of Lausanne,Switzerland,7,261,711,136,211,79.0
193 Top 1%,Sichuan University,China,19,-,1014,-,136,78.9
194 Top 1%,Sungkyunkwan University,South Korea,4,-,225,-,153,78.9
195 Top 1%,University of Calgary,Canada,8,-,234,-,152,78.9
196 Top 1%,North Carolina State University,USA,68,371,437,179,192,78.9
197 Top 1%,Technical University of Denmark,Denmark,3,205,848,190,189,78.8
198 Top 1%,University of Vienna,Austria,1,143,503,120,241,78.8
199 Top 1%,University of Connecticut,USA,69,495,389,114,233,78.8
200 Top 1%,Tongji University,China,20,-,186,-,165,78.8
201 Top 1%,Stony Brook University,USA,70,219,-,147,217,78.7
202 Top 1%,University of Lisbon,Portugal,1,445,1305,236,173,78.7
203 Top 1%,Central South University,China,21,-,265,-,161,78.7
204 Top 1%,University of Waterloo,Canada,9,-,220,214,212,78.7
205 Top 1%,University of Münster,Germany,13,374,819,195,194,78.7
206 Top 1.1%,South China University of Technology,China,22,-,314,-,160,78.6
207 Top 1.1%,University of Adelaide,Australia,8,176,936,-,155,78.6
208 Top 1.1%,London School of Hygiene & Tropical Medicine,United Kingdom,20,279,-,123,235,78.6
209 Top 1.1%,University of Kansas,USA,71,250,528,116,253,78.6
210 Top 1.1%,Nankai University,China,23,-,117,-,207,78.5
211 Top 1.1%,Institut national du service public,France,11,-,3,-,-,78.5
212 Top 1.1%,University of Ottawa,Canada,10,-,482,-,158,78.5
213 Top 1.1%,University of Georgia,USA,72,434,290,166,229,78.5
214 Top 1.1%,RWTH Aachen University,Germany,14,508,194,-,181,78.5
215 Top 1.1%,Hong Kong University of Science and Technology,China,24,-,566,142,237,78.4
216 Top 1.1%,Johannes Gutenberg University Mainz,Germany,15,-,-,181,214,78.4
217 Top 1.1%,Lomonosov Moscow State University,Russia,1,134,404,207,227,78.4
218 Top 1.1%,Jilin University,China,25,-,367,-,168,78.4
219 Top 1.1%,Technical University of Dresden,Germany,16,-,1489,-,157,78.3
220 Top 1.1%,Waseda University,Japan,8,352,26,-,517,78.3
221 Top 1.1%,Université catholique de Louvain,Belgium,3,-,538,131,247,78.3
222 Top 1.1%,Southeast University,China,26,-,802,-,163,78.3
223 Top 1.1%,The Scripps Research Institute,USA,73,-,-,32,358,78.3
224 Top 1.1%,"University of Tennessee, Knoxville",USA,74,433,559,222,208,78.2
225 Top 1.1%,Georgetown University,USA,75,377,43,-,343,78.2
226 Top 1.2%,University of Würzburg,Germany,17,150,1152,234,216,78.2
227 Top 1.2%,University of Turin,Italy,5,237,1115,-,179,78.2
228 Top 1.2%,KAIST,South Korea,5,-,127,-,221,78.2
229 Top 1.2%,University of Erlangen–Nuremberg,Germany,18,432,847,-,178,78.1
230 Top 1.2%,University of Missouri–Columbia,USA,76,437,245,89,322,78.1
231 Top 1.2%,Hokkaido University,Japan,9,357,239,167,268,78.1
232 Top 1.2%,Kiel University,Germany,19,360,1129,143,259,78.1
233 Top 1.2%,"Soochow University, China",China,27,-,-,-,177,78.1
234 Top 1.2%,Université libre de Bruxelles,Belgium,4,450,358,174,252,78.0
235 Top 1.2%,University of Naples Federico II,Italy,6,-,758,-,180,78.0
236 Top 1.2%,University of Miami,USA,77,-,228,-,206,78.0
237 Top 1.2%,University of Sussex,United Kingdom,21,112,576,81,354,78.0
238 Top 1.2%,Charles University in Prague,Czech Republic,1,332,1298,-,182,78.0
239 Top 1.2%,Brandeis University,USA,78,33,256,48,663,77.9
240 Top 1.2%,University of Illinois at Chicago,USA,79,499,777,279,188,77.9
241 Top 1.2%,University of Cincinnati,USA,80,488,263,-,200,77.9
242 Top 1.2%,Karlsruhe Institute of Technology,Germany,20,478,281,-,199,77.9
243 Top 1.2%,Claude Bernard University Lyon 1,France,12,-,882,-,184,77.9
244 Top 1.2%,Hong Kong Polytechnic University,China,28,-,322,-,193,77.8
245 Top 1.2%,King Abdulaziz University,Saudi Arabia,1,-,1330,-,186,77.8
246 Top 1.2%,Kyushu University,Japan,10,268,132,-,236,77.8
247 Top 1.3%,Trinity College Dublin,Ireland,1,207,90,246,301,77.8
248 Top 1.3%,University of Leicester,United Kingdom,22,-,1396,96,296,77.8
249 Top 1.3%,Complutense University of Madrid,Spain,3,210,187,220,272,77.7
250 Top 1.3%,Yeshiva University,USA,81,111,-,198,274,77.7
251 Top 1.3%,City University of Hong Kong,China,29,-,1037,-,190,77.7
252 Top 1.3%,"University of California, Riverside",USA,82,394,-,213,240,77.7
253 Top 1.3%,University of Reading,United Kingdom,23,126,134,110,407,77.7
254 Top 1.3%,Beihang University,China,30,-,914,-,197,77.7
255 Top 1.3%,University of Exeter,United Kingdom,24,381,773,-,204,77.6
256 Top 1.3%,University of Texas Health Science Center at Houston,USA,83,-,-,148,275,77.6
257 Top 1.3%,Paul Sabatier University,France,13,-,-,-,198,77.6
258 Top 1.3%,Maastricht University,Netherlands,9,-,1364,-,202,77.6
259 Top 1.3%,University of Bordeaux,France,14,-,1071,-,203,77.6
260 Top 1.3%,Colorado State University,USA,84,463,1412,194,257,77.5
261 Top 1.3%,University of Houston,USA,85,-,184,127,344,77.5
262 Top 1.3%,Wake Forest University,USA,86,-,67,-,334,77.5
263 Top 1.3%,Delft University of Technology,Netherlands,10,264,419,-,219,77.5
264 Top 1.3%,University of Florence,Italy,7,-,765,-,213,77.5
265 Top 1.3%,Virginia Commonwealth University,USA,87,-,971,122,312,77.4
266 Top 1.3%,Dalian University of Technology,China,31,-,282,-,224,77.4
267 Top 1.4%,University of Cape Town,South Africa,1,182,224,-,245,77.4
268 Top 1.4%,University of Auckland,New Zealand,1,524,465,-,222,77.4
269 Top 1.4%,Oregon Health & Science University,USA,88,-,-,-,218,77.4
270 Top 1.4%,Virginia Tech,USA,89,501,327,-,231,77.4
271 Top 1.4%,University of Genoa,Italy,8,536,1191,244,254,77.3
272 Top 1.4%,University of Pisa,Italy,9,325,1236,-,220,77.3
273 Top 1.4%,Oregon State University,USA,90,243,509,217,277,77.3
274 Top 1.4%,China Europe International Business School,China,32,-,5,-,-,77.3
