tuition_in_state_usd,tuition_out_of_state_usd,admission_rate,sat_average,act_midpoint,name,city,state,country,source
,,,,,Illinois College of Optometry,Chicago,IL,United States,collegescorecard.ed.gov
16004.0,35124.0,0.4237,1440.0,32.0,University of Illinois Urbana-Champaign,Champaign,IL,United States,collegescorecard.ed.gov
57704.0,57704.0,0.3931,1275.0,27.0,Illinois Wesleyan University,Bloomington,IL,United States,collegescorecard.ed.gov
4800.0,12150.0,,,,Illinois Central College,East Peoria,IL,United States,collegescorecard.ed.gov
38676.0,38676.0,0.7819,1064.0,21.0,Illinois College,Jacksonville,IL,United States,collegescorecard.ed.gov
5260.0,12460.0,,,,Illinois Eastern Community Colleges,Olney,IL,United States,collegescorecard.ed.gov
52386.0,52386.0,0.5493,1311.0,29.0,Illinois Institute of Technology,Chicago,IL,United States,collegescorecard.ed.gov
16144.0,28210.0,0.8815,1113.0,24.0,Illinois State University,Normal,IL,United States,collegescorecard.ed.gov
4200.0,16385.0,,,,Illinois Valley Community College,Oglesby,IL,United States,collegescorecard.ed.gov
,,,,,Institute for Clinical Social Work,Chicago,IL,United States,collegescorecard.ed.gov
4630.0,7540.0,,,,John A Logan College,Carterville,IL,United States,collegescorecard.ed.gov
5700.0,9300.0,,,,John Wood Community College,Quincy,IL,United States,collegescorecard.ed.gov
4530.0,13800.0,,,,Joliet Junior College,Joliet,IL,United States,collegescorecard.ed.gov
31360.0,31360.0,0.4759,1039.0,22.0,Judson University,Elgin,IL,United States,collegescorecard.ed.gov
5220.0,25830.0,,,,Kankakee Community College,Kankakee,IL,United States,collegescorecard.ed.gov
4800.0,12570.0,,,,Kaskaskia College,Centralia,IL,United States,collegescorecard.ed.gov
4560.0,13680.0,,,,Kishwaukee College,Malta,IL,United States,collegescorecard.ed.gov
57903.0,57903.0,0.7079,1326.0,28.0,Knox College,Galesburg,IL,United States,collegescorecard.ed.gov
,,,,,Educators of Beauty College of Cosmetology-Peru,PERU,IL,United States,collegescorecard.ed.gov
4788.0,14400.0,,,,College of Lake County,Grayslake,IL,United States,collegescorecard.ed.gov
56402.0,56402.0,0.5681,1343.0,29.0,Lake Forest College,Lake Forest,IL,United States,collegescorecard.ed.gov
,,,,,Lake Forest Graduate School of Management,Lake Forest,IL,United States,collegescorecard.ed.gov
4415.0,14301.0,,,,Lake Land College,Mattoon,IL,United States,collegescorecard.ed.gov
,,,,,Lakeview College of Nursing,Danville,IL,United States,collegescorecard.ed.gov
4340.0,7840.0,,,,Lewis and Clark Community College,Godfrey,IL,United States,collegescorecard.ed.gov
39200.0,39200.0,0.7129,1096.0,23.0,Lewis University,Romeoville,IL,United States,collegescorecard.ed.gov
3744.0,10464.0,,,,Lincoln Land Community College,Springfield,IL,United States,collegescorecard.ed.gov
,,,,,Lincoln College of Technology-Melrose Park,Melrose Park,IL,United States,collegescorecard.ed.gov
53710.0,53710.0,0.816,1297.0,30.0,Loyola University Chicago,Chicago,IL,United States,collegescorecard.ed.gov
,,,,,Lutheran School of Theology at Chicago,Chicago,IL,United States,collegescorecard.ed.gov
,,,,,Trinity College of Nursing & Health Sciences,Rock Island,IL,United States,collegescorecard.ed.gov
,,,,,Steven Papageorge Hair Academy,Chicago,IL,United States,collegescorecard.ed.gov
12700.0,12700.0,,,,Generations College,Chicago,IL,United States,collegescorecard.ed.gov
,,,,,McCormick Theological Seminary,Chicago,IL,United States,collegescorecard.ed.gov
4162.0,14399.0,,,,McHenry County College,Crystal Lake,IL,United States,collegescorecard.ed.gov
34740.0,34740.0,0.7172,,,McKendree University,Lebanon,IL,United States,collegescorecard.ed.gov
,,,,,Meadville Theological School of Lombard College,Chicago,IL,United States,collegescorecard.ed.gov
18008.0,18008.0,0.3889,,,Methodist College,Peoria,IL,United States,collegescorecard.ed.gov
26892.0,26892.0,0.6668,1034.0,23.0,Millikin University,Decatur,IL,United States,collegescorecard.ed.gov
44922.0,44922.0,0.9093,1128.0,26.0,Monmouth College,Monmouth,IL,United States,collegescorecard.ed.gov
15786.0,15786.0,0.8269,,,Moody Bible Institute,Chicago,IL,United States,collegescorecard.ed.gov
3822.0,9846.0,,,,Moraine Valley Community College,Palos Hills,IL,United States,collegescorecard.ed.gov
20355.0,20355.0,,,,Morrison Institute of Technology,Morrison,IL,United States,collegescorecard.ed.gov
5502.0,12414.0,,,,Morton College,Cicero,IL,United States,collegescorecard.ed.gov
12705.0,12705.0,0.9505,,,National Louis University,Chicago,IL,United States,collegescorecard.ed.gov
,,,,,National University of Health Sciences,Lombard,IL,United States,collegescorecard.ed.gov
,,,,,Cosmetology Concepts Niles,Niles,IL,United States,collegescorecard.ed.gov
45726.0,45726.0,0.7733,1213.0,25.0,North Central College,Naperville,IL,United States,collegescorecard.ed.gov
36710.0,36710.0,0.6851,,23.0,North Park University,Chicago,IL,United States,collegescorecard.ed.gov
,,,,,Northern Baptist Theological Seminary,Lisle,IL,United States,collegescorecard.ed.gov
13248.0,13248.0,0.6979,,,Northern Illinois University,Dekalb,IL,United States,collegescorecard.ed.gov
68322.0,68322.0,0.0769,1533.0,35.0,Northwestern University,Evanston,IL,United States,collegescorecard.ed.gov
12383.0,22726.0,0.746,,,Northeastern Illinois University,Chicago,IL,United States,collegescorecard.ed.gov
3985.0,12462.0,,,,Oakton College,Des Plaines,IL,United States,collegescorecard.ed.gov
,,,,,Oehrlein School of Cosmetology,East Peoria,IL,United States,collegescorecard.ed.gov
38900.0,38900.0,0.5586,1117.0,23.0,Olivet Nazarene University,Bourbonnais,IL,United States,collegescorecard.ed.gov
4284.0,13266.0,,,,Parkland College,Champaign,IL,United States,collegescorecard.ed.gov
4176.0,11064.0,,,,Prairie State College,Chicago Heights,IL,United States,collegescorecard.ed.gov
34680.0,34680.0,,,25.0,Principia College,Elsah,IL,United States,collegescorecard.ed.gov
,,,,,Professional's Choice Hair Design Academy,Joliet,IL,United States,collegescorecard.ed.gov
37140.0,37140.0,0.5093,1098.0,24.0,Quincy University,Quincy,IL,United States,collegescorecard.ed.gov
4500.0,7800.0,,,,Rend Lake College,Ina,IL,United States,collegescorecard.ed.gov
4680.0,17070.0,,,,Richland Community College,Decatur,IL,United States,collegescorecard.ed.gov
4334.0,7379.0,,,,Rock Valley College,Rockford,IL,United States,collegescorecard.ed.gov
37780.0,37780.0,0.9291,956.0,21.0,Rockford University,Rockford,IL,United States,collegescorecard.ed.gov
21315.0,21315.0,0.9716,1011.0,24.0,Roosevelt University,Chicago,IL,United States,collegescorecard.ed.gov
38978.0,38978.0,0.9032,1002.0,25.0,Dominican University,River Forest,IL,United States,collegescorecard.ed.gov
,,,,,Rush University,Chicago,IL,United States,collegescorecard.ed.gov
,,,,,Saint Francis Medical Center College of Nursing,Peoria,IL,United States,collegescorecard.ed.gov
38110.0,38110.0,0.6529,1141.0,23.0,University of St Francis,Joliet,IL,United States,collegescorecard.ed.gov
,,,,,St. John's College,Springfield,IL,United States,collegescorecard.ed.gov
37940.0,37940.0,0.843,,,Saint Xavier University,Chicago,IL,United States,collegescorecard.ed.gov
12252.0,22017.0,0.8588,1102.0,24.0,University of Illinois Springfield,Springfield,IL,United States,collegescorecard.ed.gov
5340.0,12900.0,,,,Sauk Valley Community College,Dixon,IL,United States,collegescorecard.ed.gov
4650.0,7500.0,,,,Shawnee Community College,Ullin,IL,United States,collegescorecard.ed.gov
,,,,,University of Saint Mary of the Lake,Mundelein,IL,United States,collegescorecard.ed.gov
4560.0,6780.0,,,,Southeastern Illinois College,Harrisburg,IL,United States,collegescorecard.ed.gov
,,,,,Spertus College,Chicago,IL,United States,collegescorecard.ed.gov
6090.0,13500.0,,,,Spoon River College,Canton,IL,United States,collegescorecard.ed.gov
27811.0,27811.0,,,,Saint Anthony College of Nursing,Rockford,IL,United States,collegescorecard.ed.gov
,,,,,Educators of Beauty College of Cosmetology-Sterling,Sterling,IL,United States,collegescorecard.ed.gov
